signature_id,Sub_Status,status_message_id,signature
,0x0000010E,STATUS_PRIMARY_TRANSPORT_CONNECT_FAILED,"{Connect Failure on Primary Transport} An attempt was made to connect to the remote server %hs on the primary transport, but the connection failed. The computer WAS able to connect on a secondary transport"
,0x00000110,STATUS_PAGE_FAULT_TRANSITION,"Page fault was a transition fault"
,0x00000111,STATUS_PAGE_FAULT_DEMAND_ZERO,"Page fault was a demand zero fault"
,0x00000112,STATUS_PAGE_FAULT_COPY_ON_WRITE,"Page fault was a demand zero fault"
,0x00000113,STATUS_PAGE_FAULT_GUARD_PAGE,"Page fault was a demand zero fault"
,0x00000114,STATUS_PAGE_FAULT_PAGING_FILE,"Page fault was satisfied by reading from a secondary storage device"
,0x00000115,STATUS_CACHE_PAGE_LOCKED,"Cached page was locked during operation"
,0x00000116,STATUS_CRASH_DUMP,"The crash dump exists in paging file"
,0x00000117,STATUS_BUFFER_ALL_ZEROS,"Specified buffer contains all zeros"
,0x00000118,STATUS_REPARSE_OBJECT,"A reparse should be performed by the Object Manager since the name of the file resulted in a symbolic link"
,0x00000119,STATUS_RESOURCE_REQUIREMENTS_CHANGED,"The device has succeeded a query-stop and its resource requirements have changed"
,0x00000120,STATUS_TRANSLATION_COMPLETE,"The translator has translated these resources into the global space and no further translations should be performed"
,0x00000121,STATUS_DS_MEMBERSHIP_EVALUATED_LOCALLY,"The directory service evaluated group memberships locally, as it was unable to contact a global catalog server"
,0x00000122,STATUS_NOTHING_TO_TERMINATE,"A process being terminated has no threads to terminate"
,0x00000123,STATUS_PROCESS_NOT_IN_JOB,"The specified process is not part of a job"
,0x00000124,STATUS_PROCESS_IN_JOB,"The specified process is part of a job"
,0x00000125,STATUS_VOLSNAP_HIBERNATE_READY,"{Volume Shadow Copy Service} The system is now ready for hibernation"
,0x00000126,STATUS_FSFILTER_OP_COMPLETED_SUCCESSFULLY,"A file system or file system filter driver has successfully completed an FsFilter operation"
,0x00000127,STATUS_INTERRUPT_VECTOR_ALREADY_CONNECTED,"The specified interrupt vector was already connected"
,0x00000128,STATUS_INTERRUPT_STILL_CONNECTED,"The specified interrupt vector is still connected"
,0x00000129,STATUS_PROCESS_CLONED,"The current process is a cloned process"
,0x0000012A,STATUS_FILE_LOCKED_WITH_ONLY_READERS,"The file was locked and all users of the file can only read"
,0x0000012B,STATUS_FILE_LOCKED_WITH_WRITERS,"The file was locked and at least one user of the file can write"
,0x0000012C,STATUS_VALID_IMAGE_HASH,"The file image hash is valid"
,0x0000012D,STATUS_VALID_CATALOG_HASH,"The file catalog hash is valid"
,0x0000012E,STATUS_VALID_STRONG_CODE_HASH,"The file hash is valid and uses strong code integrity"
,0x0000012F,STATUS_GHOSTED,"At least a portion of IO range intersects with a ghosted file range"
,0x00000202,STATUS_RESOURCEMANAGER_READ_ONLY,"The specified ResourceManager made no changes or updates to the resource under this transaction"
,0x00000210,STATUS_RING_PREVIOUSLY_EMPTY,"The specified ring buffer was empty before the packet was successfully inserted"
,0x00000211,STATUS_RING_PREVIOUSLY_FULL,"The specified ring buffer was full before the packet was successfully removed"
,0x00000212,STATUS_RING_PREVIOUSLY_ABOVE_QUOTA,"The specified ring buffer has dropped below its quota of outstanding transactions"
,0x00000213,STATUS_RING_NEWLY_EMPTY,"The specified ring buffer has, with the removal of the current packet, now become empty"
,0x00000214,STATUS_RING_SIGNAL_OPPOSITE_ENDPOINT,"The specified ring buffer was either previously empty or previously full which implies that the caller should signal the opposite endpoint"
,0x00000215,STATUS_OPLOCK_SWITCHED_TO_NEW_HANDLE,"The oplock that was associated with this handle is now associated with a different handle"
,0x00000216,STATUS_OPLOCK_HANDLE_CLOSED,"The handle with which this oplock was associated has been closed.  The oplock is now broken"
,0x00000367,STATUS_WAIT_FOR_OPLOCK,"An operation is blocked waiting for an oplock"
,0x00000368,STATUS_REPARSE_GLOBAL,"A reparse should be performed by the Object Manager from the global root to escape the container name space"
,0x00010001,DBG_EXCEPTION_HANDLED,"Debugger handled exception"
,0x00010002,DBG_CONTINUE,"Debugger continued"
,0x001C0001,STATUS_FLT_IO_COMPLETE,"The IO was completed by a filter"
,0x40000000,STATUS_OBJECT_NAME_EXISTS,"{Object Exists} An attempt was made to create an object and the object name already existed"
,0x40000001,STATUS_THREAD_WAS_SUSPENDED,"{Thread Suspended} A thread termination occurred while the thread was suspended. The thread was resumed, and termination proceeded"
,0x40000002,STATUS_WORKING_SET_LIMIT_RANGE,"{Working Set Range Error} An attempt was made to set the working set minimum or maximum to values which are outside of the allowable range"
,0x40000003,STATUS_IMAGE_NOT_AT_BASE,"{Image Relocated} An image file could not be mapped at the address specified in the image file. Local fixups must be performed on this image"
,0x40000004,STATUS_RXACT_STATE_CREATED,"This informational level status indicates that a specified registry sub-tree transaction state did not yet exist and had to be created"
,0x40000005,STATUS_SEGMENT_NOTIFICATION,"{Segment Load} A virtual DOS machine (VDM) is loading, unloading, or moving an MS-DOS or Win16 program segment image. An exception is raised so a debugger can load, unload or track symbols and breakpoints within these 16-bit segments"
,0x40000006,STATUS_LOCAL_USER_SESSION_KEY,"{Local Session Key} A user session key was requested for a local RPC connection. The session key returned is a constant value and not unique to this connection"
,0x40000007,STATUS_BAD_CURRENT_DIRECTORY,"{Invalid Current Directory} The process cannot switch to the startup current directory %hs. Select OK to set current directory to %hs, or select CANCEL to exit"
,0x40000008,STATUS_SERIAL_MORE_WRITES,"{Serial IOCTL Complete} A serial I/O operation was completed by another write to a serial port. (The IOCTL_SERIAL_XOFF_COUNTER reached zero.)"
,0x40000009,STATUS_REGISTRY_RECOVERED,"{Registry Recovery} One of the files containing the system's Registry data had to be recovered by use of a log or alternate copy. The recovery was successful"
,0x4000000A,STATUS_FT_READ_RECOVERY_FROM_BACKUP,"{Redundant Read} To satisfy a read request, the NT fault-tolerant file system successfully read the requested data from a redundant copy. This was done because the file system encountered a failure on a member of the fault-tolerant volume, but was unable to reassign the failing area of the device"
,0x4000000B,STATUS_FT_WRITE_RECOVERY,"{Redundant Write} To satisfy a write request, the NT fault-tolerant file system successfully wrote a redundant copy of the information. This was done because the file system encountered a failure on a member of the fault-tolerant volume, but was not able to reassign the failing area of the device"
,0x4000000C,STATUS_SERIAL_COUNTER_TIMEOUT,"{Serial IOCTL Timeout} A serial I/O operation completed because the time-out period expired. (The IOCTL_SERIAL_XOFF_COUNTER had not reached zero.)"
,0x4000000D,STATUS_NULL_LM_PASSWORD,"{Password Too Complex} The Windows password is too complex to be converted to a LAN Manager password. The LAN Manager password returned is a NULL string"
,0x4000000E,STATUS_IMAGE_MACHINE_TYPE_MISMATCH,"{Machine Type Mismatch} The image file %hs is valid, but is for a machine type other than the current machine. Select OK to continue, or CANCEL to fail the DLL load"
,0x4000000F,STATUS_RECEIVE_PARTIAL,"{Partial Data Received} The network transport returned partial data to its client. The remaining data will be sent later"
,0x40000010,STATUS_RECEIVE_EXPEDITED,"{Expedited Data Received} The network transport returned data to its client that was marked as expedited by the remote system"
,0x40000011,STATUS_RECEIVE_PARTIAL_EXPEDITED,"{Partial Expedited Data Received} The network transport returned partial data to its client and this data was marked as expedited by the remote system. The remaining data will be sent later"
,0x40000012,STATUS_EVENT_DONE,"{TDI Event Done} The TDI indication has completed successfully"
,0x40000013,STATUS_EVENT_PENDING,"{TDI Event Pending} The TDI indication has entered the pending state"
,0x40000014,STATUS_CHECKING_FILE_SYSTEM,"Checking file system on %wZ"
,0x40000015,STATUS_FATAL_APP_EXIT,"{Fatal Application Exit} %hs"
,0x40000016,STATUS_PREDEFINED_HANDLE,"The specified registry key is referenced by a predefined handle"
,0x40000017,STATUS_WAS_UNLOCKED,"{Page Unlocked} The page protection of a locked page was changed to 'No Access' and the page was unlocked from memory and from the process"
,0x40000018,STATUS_SERVICE_NOTIFICATION,"%hs"
,0x40000019,STATUS_WAS_LOCKED,"{Page Locked} One of the pages to lock was already locked"
,0x4000001A,STATUS_LOG_HARD_ERROR,"Application popup: %1 : %2"
,0x4000001B,STATUS_ALREADY_WIN32,"STATUS_ALREADY_WIN32"
,0x4000001C,STATUS_WX86_UNSIMULATE,"Exception status code used by Win32 x86 emulation subsystem"
,0x4000001D,STATUS_WX86_CONTINUE,"Exception status code used by Win32 x86 emulation subsystem"
,0x4000001E,STATUS_WX86_SINGLE_STEP,"Exception status code used by Win32 x86 emulation subsystem"
,0x4000001F,STATUS_WX86_BREAKPOINT,"Exception status code used by Win32 x86 emulation subsystem"
,0x40000020,STATUS_WX86_EXCEPTION_CONTINUE,"Exception status code used by Win32 x86 emulation subsystem"
,0x40000021,STATUS_WX86_EXCEPTION_LASTCHANCE,"Exception status code used by Win32 x86 emulation subsystem"
,0x40000022,STATUS_WX86_EXCEPTION_CHAIN,"Exception status code used by Win32 x86 emulation subsystem"
,0x40000023,STATUS_IMAGE_MACHINE_TYPE_MISMATCH_EXE,"{Machine Type Mismatch} The image file %hs is valid, but is for a machine type other than the current machine"
,0x40000024,STATUS_NO_YIELD_PERFORMED,"A yield execution was performed and no thread was available to run"
,0x40000025,STATUS_TIMER_RESUME_IGNORED,"The resumable flag to a timer API was ignored"
,0x40000026,STATUS_ARBITRATION_UNHANDLED,"The arbiter has deferred arbitration of these resources to its parent"
,0x40000027,STATUS_CARDBUS_NOT_SUPPORTED,"The device '%hs' has detected a CardBus card in its slot, but the firmware on this system is not configured to allow the CardBus controller to be run in CardBus mode. The operating system will currently accept only 16-bit (R2) pc-cards on this controller"
,0x40000028,STATUS_WX86_CREATEWX86TIB,"Exception status code used by Win32 x86 emulation subsystem"
,0x40000029,STATUS_MP_PROCESSOR_MISMATCH,"The CPUs in this multiprocessor system are not all the same revision level. To use all processors the operating system restricts itself to the features of the least capable processor in the system. Should problems occur with this system, contact the CPU manufacturer to see if this mix of processors is supported"
,0x4000002A,STATUS_HIBERNATED,"The system was put into hibernation"
,0x4000002B,STATUS_RESUME_HIBERNATION,"The system was resumed from hibernation"
,0x4000002C,STATUS_FIRMWARE_UPDATED,"Windows has detected that the system firmware (BIOS) was updated [previous firmware date = %2, current firmware date %3]"
,0x4000002D,STATUS_DRIVERS_LEAKING_LOCKED_PAGES,"A device driver is leaking locked I/O pages causing system degradation. The system has automatically enabled tracking code in order to try and catch the culprit"
,0x4000002E,STATUS_MESSAGE_RETRIEVED,"The ALPC message being canceled has already been retrieved from the queue on the other side"
,0x4000002F,STATUS_SYSTEM_POWERSTATE_TRANSITION,"The system power state is transitioning from %2 to %3"
,0x40000030,STATUS_ALPC_CHECK_COMPLETION_LIST,"The receive operation was successful. Check the ALPC completion list for the received message"
,0x40000031,STATUS_SYSTEM_POWERSTATE_COMPLEX_TRANSITION,"The system power state is transitioning from %2 to %3 but could enter %4"
,0x40000032,STATUS_ACCESS_AUDIT_BY_POLICY,"Access to %1 is monitored by policy rule %2"
,0x40000033,STATUS_ABANDON_HIBERFILE,"A valid hibernation file has been invalidated and should be abandoned"
,0x40000034,STATUS_BIZRULES_NOT_ENABLED,"Business rule scripts are disabled for the calling application"
,0x40000035,STATUS_FT_READ_FROM_COPY,"The specified copy of the requested data was successfully read"
,0x40000036,STATUS_IMAGE_AT_DIFFERENT_BASE,"{Image Relocated} An image file was mapped at a different address from the one specified in the image file but fixups will still be automatically performed on the image"
,0x40010001,DBG_REPLY_LATER,"Debugger will reply later"
,0x40010002,DBG_UNABLE_TO_PROVIDE_HANDLE,"Debugger cannot provide handle"
,0x40010003,DBG_TERMINATE_THREAD,"Debugger terminated thread"
,0x40010004,DBG_TERMINATE_PROCESS,"Debugger terminated process"
,0x40010005,DBG_CONTROL_C,"Debugger got control C"
,0x40010006,DBG_PRINTEXCEPTION_C,"Debugger printed exception on control C"
,0x40010007,DBG_RIPEXCEPTION,"Debugger received RIP exception"
,0x40010008,DBG_CONTROL_BREAK,"Debugger received control break"
,0x40010009,DBG_COMMAND_EXCEPTION,"Debugger command communication exception"
,0x4001000A,DBG_PRINTEXCEPTION_WIDE_C,"Debugger printed exception on control C"
,0x40190001,STATUS_HEURISTIC_DAMAGE_POSSIBLE,"The attempt to commit the Transaction completed, but it is possible that some portion of the transaction tree did not commit successfully due to heuristics.  Therefore it is possible that some data modified in the transaction may not have committed, resulting in transactional inconsistency.  If possible, check the consistency of the associated data"
,0x80000001,STATUS_GUARD_PAGE_VIOLATION,"{EXCEPTION} Guard Page Exception. A page of memory that marks the end of a data structure, such as a stack or an array, has been accessed"
,0x80000002,STATUS_DATATYPE_MISALIGNMENT,"{EXCEPTION} Alignment Fault A datatype misalignment was detected in a load or store instruction"
,0x80000003,STATUS_BREAKPOINT,"{EXCEPTION} Breakpoint. A breakpoint has been reached"
,0x80000004,STATUS_SINGLE_STEP,"{EXCEPTION} Single Step A single step or trace operation has just been completed"
,0x80000005,STATUS_BUFFER_OVERFLOW,"{Buffer Overflow} The data was too large to fit into the specified buffer"
,0x80000006,STATUS_NO_MORE_FILES,"{No More Files} No more files were found which match the file specification"
,0x80000007,STATUS_WAKE_SYSTEM_DEBUGGER,"{Kernel Debugger Awakened} The system debugger was awakened by an interrupt"
,0x8000000A,STATUS_HANDLES_CLOSED,"{Handles Closed} Handles to objects have been automatically closed as a result of the requested operation"
,0x8000000B,STATUS_NO_INHERITANCE,"{Non-Inheritable ACL} An access control list (ACL) contains no components that can be inherited"
,0x8000000C,STATUS_GUID_SUBSTITUTION_MADE,"{GUID Substitution} During the translation of a global identifier (GUID) to a Windows security ID (SID), no administratively-defined GUID prefix was found. A substitute prefix was used, which will not compromise system security. However, this may provide a more restrictive access than intended"
,0x8000000D,STATUS_PARTIAL_COPY,"{Partial Copy} Due to protection conflicts not all the requested bytes could be copied"
,0x8000000E,STATUS_DEVICE_PAPER_EMPTY,"{Out of Paper} The printer is out of paper"
,0x8000000F,STATUS_DEVICE_POWERED_OFF,"{Device Power Is Off} The printer power has been turned off"
,0x80000010,STATUS_DEVICE_OFF_LINE,"{Device Offline} The printer has been taken offline"
,0x80000011,STATUS_DEVICE_BUSY,"{Device Busy} The device is currently busy"
,0x80000012,STATUS_NO_MORE_EAS,"{No More EAs} No more extended attributes (EAs) were found for the file"
,0x80000013,STATUS_INVALID_EA_NAME,"{Illegal EA} The specified extended attribute (EA) name contains at least one illegal character"
,0x80000014,STATUS_EA_LIST_INCONSISTENT,"{Inconsistent EA List} The extended attribute (EA) list is inconsistent"
,0x80000015,STATUS_INVALID_EA_FLAG,"{Invalid EA Flag} An invalid extended attribute (EA) flag was set"
,0x80000016,STATUS_VERIFY_REQUIRED,"{Verifying Disk} The media has changed and a verify operation is in progress so no reads or writes may be performed to the device, except those used in the verify operation"
,0x80000017,STATUS_EXTRANEOUS_INFORMATION,"{Too Much Information} The specified access control list (ACL) contained more information than was expected"
,0x80000018,STATUS_RXACT_COMMIT_NECESSARY,"This warning level status indicates that the transaction state already exists for the registry sub-tree, but that a transaction commit was previously aborted. The commit has NOT been completed, but has not been rolled back either (so it may still be committed if desired)"
,0x8000001A,STATUS_NO_MORE_ENTRIES,"{No More Entries} No more entries are available from an enumeration operation"
,0x8000001B,STATUS_FILEMARK_DETECTED,"{Filemark Found} A filemark was detected"
,0x8000001C,STATUS_MEDIA_CHANGED,"{Media Changed} The media may have changed"
,0x8000001D,STATUS_BUS_RESET,"{I/O Bus Reset} An I/O bus reset was detected"
,0x8000001E,STATUS_END_OF_MEDIA,"{End of Media} The end of the media was encountered"
,0x8000001F,STATUS_BEGINNING_OF_MEDIA,"Beginning of tape or partition has been detected"
,0x80000020,STATUS_MEDIA_CHECK,"{Media Changed}  The media may have changed"
,0x80000021,STATUS_SETMARK_DETECTED,"A tape access reached a setmark"
,0x80000022,STATUS_NO_DATA_DETECTED,"During a tape access, the end of the data written is reached"
,0x80000023,STATUS_REDIRECTOR_HAS_OPEN_HANDLES,"The redirector is in use and cannot be unloaded"
,0x80000024,STATUS_SERVER_HAS_OPEN_HANDLES,"The server is in use and cannot be unloaded"
,0x80000025,STATUS_ALREADY_DISCONNECTED,"The specified connection has already been disconnected"
,0x80000026,STATUS_LONGJUMP,"A long jump has been executed"
,0x80000027,STATUS_CLEANER_CARTRIDGE_INSTALLED,"A cleaner cartridge is present in the tape library"
,0x80000028,STATUS_PLUGPLAY_QUERY_VETOED,"The Plug and Play query operation was not successful"
,0x80000029,STATUS_UNWIND_CONSOLIDATE,"A frame consolidation has been executed"
,0x8000002A,STATUS_REGISTRY_HIVE_RECOVERED,"{Registry Hive Recovered} Registry hive (file): %hs was corrupted and it has been recovered. Some data might have been lost"
,0x8000002B,STATUS_DLL_MIGHT_BE_INSECURE,"The application is attempting to run executable code from the module %hs. This may be insecure. An alternative, %hs, is available. Should the application use the secure module %hs?"
,0x8000002C,STATUS_DLL_MIGHT_BE_INCOMPATIBLE,"The application is loading executable code from the module %hs. This is secure, but may be incompatible with previous releases of the operating system. An alternative, %hs, is available. Should the application use the secure module %hs?"
,0x8000002D,STATUS_STOPPED_ON_SYMLINK,"The create operation stopped after reaching a symbolic link"
,0x8000002E,STATUS_CANNOT_GRANT_REQUESTED_OPLOCK,"An oplock of the requested level cannot be granted.  An oplock of a lower level may be available"
,0x8000002F,STATUS_NO_ACE_CONDITION,"{No ACE Condition} The specified access control entry (ACE) does not contain a condition"
,0x80000030,STATUS_DEVICE_SUPPORT_IN_PROGRESS,"{Support Being Determined} Device's command support detection is in progress"
,0x80000031,STATUS_DEVICE_POWER_CYCLE_REQUIRED,"The device needs to be power cycled"
,0x80000032,STATUS_NO_WORK_DONE,"The action requested resulted in no work being done. Error-style clean-up has been performed"
,0x80010001,DBG_EXCEPTION_NOT_HANDLED,"Debugger did not handle the exception"
,0x80130001,STATUS_CLUSTER_NODE_ALREADY_UP,"The cluster node is already up"
,0x80130002,STATUS_CLUSTER_NODE_ALREADY_DOWN,"The cluster node is already down"
,0x80130003,STATUS_CLUSTER_NETWORK_ALREADY_ONLINE,"The cluster network is already online"
,0x80130004,STATUS_CLUSTER_NETWORK_ALREADY_OFFLINE,"The cluster network is already offline"
,0x80130005,STATUS_CLUSTER_NODE_ALREADY_MEMBER,"The cluster node is already a member of the cluster"
,0x801C0001,STATUS_FLT_BUFFER_TOO_SMALL,"{Buffer too small} The buffer is too small to contain the entry. No information has been written to the buffer"
,0x80210001,STATUS_FVE_PARTIAL_METADATA,"Volume Metadata read or write is incomplete"
,0x80210002,STATUS_FVE_TRANSIENT_STATE,"BitLocker encryption keys were ignored because the volume was in a transient state"
,0xC0000001,STATUS_UNSUCCESSFUL,"{Operation Failed} The requested operation was unsuccessful"
,0xC0000002,STATUS_NOT_IMPLEMENTED,"{Not Implemented} The requested operation is not implemented"
,0xC0000003,STATUS_INVALID_INFO_CLASS,"{Invalid Parameter} The specified information class is not a valid information class for the specified object"
,0xC0000004,STATUS_INFO_LENGTH_MISMATCH,"The specified information record length does not match the length required for the specified information class"
,0xC0000005,STATUS_ACCESS_VIOLATION,"The instruction at 0x%p referenced memory at 0x%p. The memory could not be %s"
,0xC0000006,STATUS_IN_PAGE_ERROR,"The instruction at 0x%p referenced memory at 0x%p. The required data was not placed into memory because of an I/O error status of 0x%x"
,0xC0000007,STATUS_PAGEFILE_QUOTA,"The pagefile quota for the process has been exhausted"
,0xC0000008,STATUS_INVALID_HANDLE,"An invalid HANDLE was specified"
,0xC0000009,STATUS_BAD_INITIAL_STACK,"An invalid initial stack was specified in a call to NtCreateThread"
,0xC000000A,STATUS_BAD_INITIAL_PC,"An invalid initial start address was specified in a call to NtCreateThread"
,0xC000000B,STATUS_INVALID_CID,"An invalid Client ID was specified"
,0xC000000C,STATUS_TIMER_NOT_CANCELED,"An attempt was made to cancel or set a timer that has an associated APC and the subject thread is not the thread that originally set the timer with an associated APC routine"
,0xC000000D,STATUS_INVALID_PARAMETER,"An invalid parameter was passed to a service or function"
,0xC000000E,STATUS_NO_SUCH_DEVICE,"A device which does not exist was specified"
,0xC000000F,STATUS_NO_SUCH_FILE,"{File Not Found} The file %hs does not exist"
,0xC0000010,STATUS_INVALID_DEVICE_REQUEST,"The specified request is not a valid operation for the target device"
,0xC0000011,STATUS_END_OF_FILE,"The end-of-file marker has been reached. There is no valid data in the file beyond this marker"
,0xC0000012,STATUS_WRONG_VOLUME,"{Wrong Volume} The wrong volume is in the drive. Please insert volume %hs into drive %hs"
,0xC0000013,STATUS_NO_MEDIA_IN_DEVICE,"{No Disk} There is no disk in the drive. Please insert a disk into drive %hs"
,0xC0000014,STATUS_UNRECOGNIZED_MEDIA,"{Unknown Disk Format} The disk in drive %hs is not formatted properly. Please check the disk, and reformat if necessary"
,0xC0000015,STATUS_NONEXISTENT_SECTOR,"{Sector Not Found} The specified sector does not exist"
,0xC0000016,STATUS_MORE_PROCESSING_REQUIRED,"{Still Busy} The specified I/O request packet (IRP) cannot be disposed of because the I/O operation is not complete"
,0xC0000017,STATUS_NO_MEMORY,"{Not Enough Quota} Not enough virtual memory or paging file quota is available to complete the specified operation"
,0xC0000018,STATUS_CONFLICTING_ADDRESSES,"{Conflicting Address Range} The specified address range conflicts with the address space"
,0xC0000019,STATUS_NOT_MAPPED_VIEW,"Address range to unmap is not a mapped view"
,0xC000001A,STATUS_UNABLE_TO_FREE_VM,"Virtual memory cannot be freed"
,0xC000001B,STATUS_UNABLE_TO_DELETE_SECTION,"Specified section cannot be deleted"
,0xC000001C,STATUS_INVALID_SYSTEM_SERVICE,"An invalid system service was specified in a system service call"
,0xC000001D,STATUS_ILLEGAL_INSTRUCTION,"{EXCEPTION} Illegal Instruction An attempt was made to execute an illegal instruction"
,0xC000001E,STATUS_INVALID_LOCK_SEQUENCE,"{Invalid Lock Sequence} An attempt was made to execute an invalid lock sequence"
,0xC000001F,STATUS_INVALID_VIEW_SIZE,"{Invalid Mapping} An attempt was made to create a view for a section which is bigger than the section"
,0xC0000020,STATUS_INVALID_FILE_FOR_SECTION,"{Bad File} The attributes of the specified mapping file for a section of memory cannot be read"
,0xC0000021,STATUS_ALREADY_COMMITTED,"{Already Committed} The specified address range is already committed"
,0xC0000022,STATUS_ACCESS_DENIED,"{Access Denied} A process has requested access to an object, but has not been granted those access rights"
,0xC0000023,STATUS_BUFFER_TOO_SMALL,"{Buffer Too Small} The buffer is too small to contain the entry. No information has been written to the buffer"
,0xC0000024,STATUS_OBJECT_TYPE_MISMATCH,"{Wrong Type} There is a mismatch between the type of object required by the requested operation and the type of object that is specified in the request"
,0xC0000025,STATUS_NONCONTINUABLE_EXCEPTION,"{EXCEPTION} Cannot Continue Windows cannot continue from this exception"
,0xC0000026,STATUS_INVALID_DISPOSITION,"An invalid exception disposition was returned by an exception handler"
,0xC0000027,STATUS_UNWIND,"Unwind exception code"
,0xC0000028,STATUS_BAD_STACK,"An invalid or unaligned stack was encountered during an unwind operation"
,0xC0000029,STATUS_INVALID_UNWIND_TARGET,"An invalid unwind target was encountered during an unwind operation"
,0xC000002A,STATUS_NOT_LOCKED,"An attempt was made to unlock a page of memory which was not locked"
,0xC000002B,STATUS_PARITY_ERROR,"Device parity error on I/O operation"
,0xC000002C,STATUS_UNABLE_TO_DECOMMIT_VM,"An attempt was made to decommit uncommitted virtual memory"
,0xC000002D,STATUS_NOT_COMMITTED,"An attempt was made to change the attributes on memory that has not been committed"
,0xC000002E,STATUS_INVALID_PORT_ATTRIBUTES,"Invalid Object Attributes specified to NtCreatePort or invalid Port Attributes specified to NtConnectPort"
,0xC000002F,STATUS_PORT_MESSAGE_TOO_LONG,"Length of message passed to NtRequestPort or NtRequestWaitReplyPort was longer than the maximum message allowed by the port"
,0xC0000030,STATUS_INVALID_PARAMETER_MIX,"An invalid combination of parameters was specified"
,0xC0000031,STATUS_INVALID_QUOTA_LOWER,"An attempt was made to lower a quota limit below the current usage"
,0xC0000032,STATUS_DISK_CORRUPT_ERROR,"{Corrupt Disk} The file system structure on the disk is corrupt and unusable. Please run the Chkdsk utility on the volume %hs"
,0xC0000033,STATUS_OBJECT_NAME_INVALID,"Object Name invalid"
,0xC0000034,STATUS_OBJECT_NAME_NOT_FOUND,"Object Name not found"
,0xC0000035,STATUS_OBJECT_NAME_COLLISION,"Object Name already exists"
,0xC0000036,STATUS_PORT_DO_NOT_DISTURB,"A port with the 'do not disturb' flag set attempted to send a message to a port in a suspended process. The process was not woken, and the message was not delivered"
,0xC0000037,STATUS_PORT_DISCONNECTED,"Attempt to send a message to a disconnected communication port"
,0xC0000038,STATUS_DEVICE_ALREADY_ATTACHED,"An attempt was made to attach to a device that was already attached to another device"
,0xC0000039,STATUS_OBJECT_PATH_INVALID,"Object Path Component was not a directory object"
,0xC000003A,STATUS_OBJECT_PATH_NOT_FOUND,"{Path Not Found} The path %hs does not exist"
,0xC000003B,STATUS_OBJECT_PATH_SYNTAX_BAD,"Object Path Component was not a directory object"
,0xC000003C,STATUS_DATA_OVERRUN,"{Data Overrun} A data overrun error occurred"
,0xC000003D,STATUS_DATA_LATE_ERROR,"{Data Late} A data late error occurred"
,0xC000003E,STATUS_DATA_ERROR,"{Data Error} An error in reading or writing data occurred"
,0xC000003F,STATUS_CRC_ERROR,"{Bad CRC} A cyclic redundancy check (CRC) checksum error occurred"
,0xC0000040,STATUS_SECTION_TOO_BIG,"{Section Too Large} The specified section is too big to map the file"
